序号,碳数,SMILES
1,4,C[N+](C)(C)C
2,5,CC[N+](C)(C)C
3,6,CC(C)[N+](C)(C)C
4,6,CCC[N+](C)(C)C
5,6,CC[N+](C)(C)CC
6,7,CC(C)(C)[N+](C)(C)C
7,7,CC(C)C[N+](C)(C)C
8,7,CCCC[N+](C)(C)C
9,7,CCC[N+](C)(C)CC
10,7,CC[N+](C)(C)C(C)C
11,7,CC[N+](C)(CC)CC
12,8,CC(C)CC[N+](C)(C)C
13,8,CC(C)[N+](C)(C)C(C)C
14,8,CCC(C)C[N+](C)(C)C
15,8,CCCC(C)[N+](C)(C)C
16,8,CCCCC[N+](C)(C)C
17,8,CCCC[N+](C)(C)CC
18,8,CCC[N+](C)(C)C(C)C
19,8,CCC[N+](C)(C)CCC
20,8,CCC[N+](C)(CC)CC
21,8,CC[N+](C)(C)C(C)(C)C
22,8,CC[N+](C)(C)CC(C)C
23,8,CC[N+](C)(CC)C(C)C
24,8,CC[N+](CC)(CC)CC
25,9,CC(C)C[N+](C)(C)C(C)C
26,9,CC(C)[N+](C)(C)C(C)(C)C
27,9,CCC(C)C[N+](C)(C)CC
28,9,CCCC(C)[N+](C)(C)CC
29,9,CCCCCC[N+](C)(C)C
30,9,CCCCC[N+](C)(C)CC
31,9,CCCC[N+](C)(C)C(C)C
32,9,CCCC[N+](C)(C)CCC
33,9,CCCC[N+](C)(CC)CC
34,9,CCC[N+](C)(C)C(C)(C)C
35,9,CCC[N+](C)(C)CC(C)C
36,9,CCC[N+](C)(CC)C(C)C
37,9,CCC[N+](C)(CC)CCC
38,9,CCC[N+](CC)(CC)CC
39,9,CC[N+](C)(C(C)C)C(C)C
40,9,CC[N+](C)(C)CCC(C)C
41,9,CC[N+](C)(CC)C(C)(C)C
42,9,CC[N+](C)(CC)CC(C)C
43,9,CC[N+](CC)(CC)C(C)C
44,10,CC(C)(C)[N+](C)(C)C(C)(C)C
45,10,CC(C)CC[N+](C)(C)C(C)C
46,10,CC(C)C[N+](C)(C)C(C)(C)C
47,10,CC(C)C[N+](C)(C)CC(C)C
48,10,CC(C)[N+](C)(C(C)C)C(C)C
49,10,CCC(C)C[N+](C)(C)C(C)C
50,10,CCC(C)C[N+](C)(CC)CC
51,10,CCCC(C)[N+](C)(C)C(C)C
52,10,CCCC(C)[N+](C)(C)CCC
53,10,CCCC(C)[N+](C)(CC)CC
54,10,CCCCCCC[N+](C)(C)C
55,10,CCCCCC[N+](C)(C)CC
56,10,CCCCC[N+](C)(C)C(C)C
57,10,CCCCC[N+](C)(C)CCC
58,10,CCCCC[N+](C)(CC)CC
59,10,CCCC[N+](C)(C)C(C)(C)C
60,10,CCCC[N+](C)(C)CC(C)C
61,10,CCCC[N+](C)(C)CCCC
62,10,CCCC[N+](C)(CC)C(C)C
63,10,CCCC[N+](C)(CC)CCC
64,10,CCCC[N+](CC)(CC)CC
65,10,CCC[N+](C)(C(C)C)C(C)C
