smiles_gdb,smiles_b3lyp,atom_coords,vibrationalfrequence,A,B,C,miu,alpha,homo,lumo,gap,R2,zpve,Uo,U,H,G,Cv
C,C,"C	-0.0126981359	1.0858041578	0.0080009958	-0.535689
H	0.002150416	-0.0060313176	0.0019761204	0.133921
H	1.0117308433	1.4637511618	0.0002765748	0.133922
H	-0.540815069	1.4475266138	-0.8766437152	0.133923
H	-0.5238136345	1.4379326443	0.9063972942	0.133923",1341.307	1341.3284	1341.365	1562.6731	1562.7453	3038.3205	3151.6034	3151.6788	3151.7078,157.7118,157.70997,157.70699,0.0,13.21,-0.3877,0.1171,0.5048,35.3641,0.044749,-40.47893,-40.476062,-40.475117,-40.498597,6.469
N,N,"N	-0.0404260543	1.0241077531	0.0625637998	-0.707143
H	0.0172574639	0.0125452063	-0.0273771593	0.235712
H	0.9157893661	1.3587451948	-0.0287577581	0.235712
H	-0.5202777357	1.3435321258	-0.7755426124	0.23572",1103.8733	1684.1158	1684.3072	3458.7145	3575.2414	3575.3343,293.60975,293.54111,191.39397,1.6256,9.46,-0.257,0.0829,0.3399,26.1563,0.034358,-56.525887,-56.523026,-56.522082,-56.544961,6.316
O,O,"O	-0.0343604951	0.9775395708	0.0076015923	-0.589706
H	0.0647664923	0.0205721989	0.0015346341	0.294853
H	0.8717903737	1.3007924048	0.0006931336	0.294853",1671.4222	3803.6305	3907.698,799.58812,437.90386,282.94545,1.8511,6.31,-0.2928,0.0687,0.3615,19.0002,0.021375,-76.404702,-76.401867,-76.400922,-76.422349,6.002
C#C,C#C,"C	0.5995394918	0.0	1.0	-0.207019
C	-0.5995394918	0.0	1.0	-0.207019
H	-1.6616385861	0.0	1.0	0.207019
H	1.6616385861	0.0	1.0	0.207019",549.7648	549.7648	795.2713	795.2713	2078.1131	3455.8096	3557.8599,0.0,35.6100361,35.6100361,0.0,16.28,-0.2845,0.0506,0.3351,59.5248,0.026841,-77.308427,-77.305527,-77.304583,-77.327429,8.574
C#N,C#N,"C	-0.0133239314	1.1324657151	0.0082758861	-0.049656
N	0.0023107217	-0.0191585871	0.0019287305	-0.188473
H	-0.0278026991	2.1989492963	0.0141537903	0.238128",799.0101	799.0101	2198.4393	3490.3686,0.0,44.593883,44.593883,2.8937,12.99,-0.3604,0.0191,0.3796,48.7476,0.016601,-93.411888,-93.40937,-93.408425,-93.431246,6.278
C=O,C=O,"C	-0.0139776956	1.1802114286	0.0077524981	-0.031232
O	0.0023139861	-0.0196636557	0.0021610727	-0.165864
H	0.9149602868	1.789511172	0.0039565555	0.098548
H	-0.9591097173	1.7640179751	0.0171828436	0.098548",1201.9838	1272.5136	1544.4691	1846.4364	2882.3231	2929.819,285.48839,38.9823,34.29892,2.1089,14.18,-0.267,-0.0406,0.2263,59.9891,0.026603,-114.483613,-114.480746,-114.479802,-114.505268,6.413
CC,CC,"C	-0.0187040036	1.5255820146	0.0104328082	-0.345672
C	0.0021037439	-0.0038819102	0.0019988214	-0.345672
H	0.9948727479	1.9397432357	0.0029412016	0.115222
H	-0.5420761069	1.9236106317	-0.8651173523	0.115225
H	-0.5252411248	1.9141730785	0.9000239916	0.115225
H	0.5254865372	-0.4019078419	0.8775439536	0.115225
H	-1.0114765071	-0.4180337979	0.0095084879	0.115222
H	0.5086261934	-0.3924704005	-0.8876011721	0.115225",308.9725	822.3972	822.7794	1003.6498	1221.5079	1221.9354	1409.4025	1422.7633	1502.2478	1502.5606	1507.3116	1507.9634	3034.5722	3035.9131	3086.4825	3086.5555	3111.4684	3111.5421,80.46225,19.90649,19.90633,0.0,23.95,-0.3385,0.1041,0.4426,109.5031,0.074542,-79.764152,-79.760666,-79.759722,-79.787269,10.098
CO,CO,"C	-0.0082881667	1.3904697792	-0.0056006901	-0.22018
O	-0.0079703813	-0.0250453723	0.0203060595	-0.403148
H	1.0065833848	1.8155636589	0.0034833514	0.102778
H	-0.5465747513	1.7991697458	-0.8739012577	0.102783
H	-0.5228887142	1.7255524029	0.8990732632	0.131574
H	0.4414201887	-0.3335442546	-0.7715205863	0.286193",324.3956	1056.1405	1093.6834	1175.9126	1389.2644	1486.4569	1495.0811	1513.3431	2980.1707	3024.4878	3106.7864	3832.1018,127.83497,24.85872,23.97872,1.5258,16.97,-0.2653,0.0784,0.3437,83.794,0.051208,-115.679136,-115.675816,-115.674872,-115.701876,8.751
CC#C,CC#C,"C	-0.0178210241	1.4643578827	0.0100939689	-0.493017
C	0.0020881587	0.0095077743	0.0020119979	0.286586
C	0.018340851	-1.1918051787	-0.0045050842	-0.443025
H	0.9978221	1.8742534891	0.0026060629	0.151087
H	-0.5422043423	1.8580117813	-0.867211921	0.151092
H	-0.5253330614	1.8483435616	0.9014813825	0.151097
H	0.0323165781	-2.2531482303	-0.0102599871	0.196182",340.0245	340.055	619.3467	619.3538	946.5116	1055.9131	1055.9288	1414.1864	1477.8966	1477.9352	2245.742	3031.4807	3093.8747	3093.9562	3510.1131,160.28041,8.59323,8.59321,0.7156,28.78,-0.2609,0.0613,0.3222,177.1963,0.05541,-116.609549,-116.60555,-116.604606,-116.633775,12.482
CC#N,CC#N,"C	-0.0178862937	1.4671278689	0.0101131129	-0.490926
C	0.0017381887	0.0103525955	0.0020758794	0.247402
N	0.017652353	-1.1445292595	-0.00420445	-0.285473
H	1.0020294117	1.8608992682	0.0024540105	0.17634
H	-0.5439884752	1.8447990128	-0.8707545998	0.176328
H	-0.5270778345	1.8351816641	0.9048632871	0.176329",394.1704	394.2399	931.367	1060.6824	1060.7287	1409.4899	1472.2954	1472.4122	2372.3324	3053.8723	3128.2217	3128.3415,159.03567,9.22327,9.22324,3.8266,24.45,-0.3264,0.0376,0.364,160.7223,0.045286,-132.71815,-132.714563,-132.713619,-132.742149,10.287
