Index,Num_c,SMILES,CID,MolecularFormula,MolecularWeight,IUPACName,XLogP,Complexity,RotatableBondCount,HeavyAtomCount
1,4,C[N+](C)(C)C,6380,C4H12N+,74.14,tetramethylazanium,0.3,19,0,5
2,5,CC[N+](C)(C)C,33993,C5H14N+,88.17,ethyl(trimethyl)azanium,0.6,33,1,6
3,6,CCC[N+](C)(C)C,29385,C6H16N+,102.2,trimethyl(propyl)azanium,1.2,42,2,7
4,6,CC[N+](C)(C)CC,199517,C6H16N+,102.2,diethyl(dimethyl)azanium,1.0,42,2,7
5,7,CCCC[N+](C)(C)C,24399,C7H18N+,116.22,butyl(trimethyl)azanium,1.5,51,3,8
6,7,CCC[N+](C)(C)CC,158452,C7H18N+,116.22,ethyl-dimethyl-propylazanium,1.5,57,3,8
7,7,CC[N+](C)(CC)CC,70440,C7H18N+,116.22,triethyl(methyl)azanium,1.4,47,3,8
8,8,CCCCC[N+](C)(C)C,9022,C8H20N+,130.25,trimethyl(pentyl)azanium,2.1,61,4,9
9,8,CCCC[N+](C)(C)CC,14022617,C8H20N+,130.25,butyl-ethyl-dimethylazanium,1.9,67,4,9
10,8,CCC[N+](C)(C)CCC,9989306,C8H20N+,130.25,dimethyl(dipropyl)azanium,2.1,59,4,9
11,8,CCC[N+](C)(CC)CC,4167058,C8H20N+,130.25,diethyl-methyl-propylazanium,1.9,65,4,9
12,8,CC[N+](CC)(CC)CC,5413,C8H20N+,130.25,tetraethylazanium,1.7,47,4,9
13,9,CCCCCC[N+](C)(C)C,84774,C9H22N+,144.28,hexyl(trimethyl)azanium,2.6,71,5,10
14,9,CCCCC[N+](C)(C)CC,23088838,C9H22N+,144.28,ethyl-dimethyl-pentylazanium,2.4,76,5,10
15,9,CCCC[N+](C)(C)CCC,23088837,C9H22N+,144.28,butyl-dimethyl-propylazanium,2.4,76,5,10
16,9,CCCC[N+](C)(CC)CC,23393389,C9H22N+,144.28,butyl-diethyl-methylazanium,2.3,74,5,10
17,9,CCC[N+](C)(CC)CCC,20376278,C9H22N+,144.28,ethyl-methyl-dipropylazanium,2.4,72,5,10
18,9,CCC[N+](CC)(CC)CC,77853,C9H22N+,144.28,triethyl(propyl)azanium,2.3,66,5,10
19,10,CCCCCCC[N+](C)(C)C,30142,C10H24N+,158.3,heptyl(trimethyl)azanium,3.7,81,6,11
20,10,CCCCCC[N+](C)(C)CC,11593475,C10H24N+,158.3,ethyl-hexyl-dimethylazanium,3.0,86,6,11
21,10,CCCCC[N+](C)(C)CCC,23088871,C10H24N+,158.3,dimethyl-pentyl-propylazanium,3.0,86,6,11
22,10,CCCCC[N+](C)(CC)CC,23088876,C10H24N+,158.3,diethyl-methyl-pentylazanium,2.8,84,6,11
23,10,CCCC[N+](C)(C)CCCC,18615673,C10H24N+,158.3,dibutyl(dimethyl)azanium,2.8,76,6,11
24,10,CCCC[N+](C)(CC)CCC,20268953,C10H24N+,158.3,butyl-ethyl-methyl-propylazanium,2.8,90,6,11
25,10,CCCC[N+](CC)(CC)CC,45719,C10H24N+,158.3,butyl(triethyl)azanium,2.6,76,6,11
26,10,CCC[N+](C)(CCC)CCC,77068,C10H24N+,158.3,methyl(tripropyl)azanium,3.0,71,6,11
27,10,CCC[N+](CC)(CC)CCC,13879586,C10H24N+,158.3,diethyl(dipropyl)azanium,2.8,76,6,11
28,11,CCCCCCCC[N+](C)(C)C,24950,C11H26N+,172.33,trimethyl(octyl)azanium,4.2,91,7,12
29,11,CCCCCCC[N+](C)(C)CC,23088859,C11H26N+,172.33,ethyl-heptyl-dimethylazanium,3.5,97,7,12
30,11,CCCCCC[N+](C)(C)CCC,23088822,C11H26N+,172.33,hexyl-dimethyl-propylazanium,3.5,97,7,12
31,11,CCCCCC[N+](C)(CC)CC,11672744,C11H26N+,172.33,diethyl-hexyl-methylazanium,3.3,95,7,12
32,11,CCCCC[N+](C)(C)CCCC,53780101,C11H26N+,172.33,butyl-dimethyl-pentylazanium,3.3,97,7,12
33,11,CCCCC[N+](C)(CC)CCC,23088854,C11H26N+,172.33,ethyl-methyl-pentyl-propylazanium,3.3,101,7,12
34,11,CCCCC[N+](CC)(CC)CC,152429,C11H26N+,172.33,triethyl(pentyl)azanium,3.2,86,7,12
35,11,CCCC[N+](C)(CC)CCCC,22487000,C11H26N+,172.33,dibutyl-ethyl-methylazanium,3.1,91,7,12
36,11,CCCC[N+](C)(CCC)CCC,87509031,C11H26N+,172.33,butyl-methyl-dipropylazanium,3.3,93,7,12
37,11,CCCC[N+](CC)(CC)CCC,5249160,C11H26N+,172.33,butyl-diethyl-propylazanium,3.2,95,7,12
38,11,CCC[N+](CC)(CCC)CCC,417995,C11H26N+,172.33,ethyl(tripropyl)azanium,3.3,82,7,12
39,12,CCCCCCCCC[N+](C)(C)C,37620,C12H28N+,186.36,trimethyl(nonyl)azanium,5.0,102,8,13
40,12,CCCCCCCC[N+](C)(C)CC,57314278,C12H28N+,186.36,ethyl-dimethyl-octylazanium,4.1,108,8,13
41,12,CCCCCCC[N+](C)(C)CCC,23088846,C12H28N+,186.36,heptyl-dimethyl-propylazanium,4.0,108,8,13
42,12,CCCCCCC[N+](C)(CC)CC,23088836,C12H28N+,186.36,diethyl-heptyl-methylazanium,3.9,106,8,13
43,12,CCCCCC[N+](C)(C)CCCC,23088839,C12H28N+,186.36,butyl-hexyl-dimethylazanium,3.9,108,8,13
44,12,CCCCCC[N+](C)(CC)CCC,87446870,C12H28N+,186.36,ethyl-hexyl-methyl-propylazanium,3.9,112,8,13
45,12,CCCCCC[N+](CC)(CC)CC,193021,C12H28N+,186.36,triethyl(hexyl)azanium,3.7,97,8,13
46,12,CCCCC[N+](C)(C)CCCCC,11149782,C12H28N+,186.36,dimethyl(dipentyl)azanium,3.9,95,8,13
47,12,CCCCC[N+](C)(CC)CCCC,87508333,C12H28N+,186.36,butyl-ethyl-methyl-pentylazanium,3.7,112,8,13
48,12,CCCCC[N+](C)(CCC)CCC,23088840,C12H28N+,186.36,methyl-pentyl-dipropylazanium,3.9,104,8,13
49,12,CCCCC[N+](CC)(CC)CCC,23088853,C12H28N+,186.36,diethyl-pentyl-propylazanium,3.7,106,8,13
50,12,CCCC[N+](C)(CCC)CCCC,87508941,C12H28N+,186.36,dibutyl-methyl-propylazanium,3.7,102,8,13
51,12,CCCC[N+](CC)(CC)CCCC,45730,C12H28N+,186.36,dibutyl(diethyl)azanium,3.5,95,8,13
52,12,CCCC[N+](CC)(CCC)CCC,87824094,C12H28N+,186.36,butyl-ethyl-dipropylazanium,3.7,104,8,13
53,12,CCC[N+](CCC)(CCC)CCC,9559,C12H28N+,186.36,tetrapropylazanium,3.9,80,8,13
54,13,CCCCCCCCCC[N+](C)(C)C,16389,C13H30N+,200.38,decyl(trimethyl)azanium,5.3,113,9,14
55,13,CCCCCCCCC[N+](C)(C)CC,23088850,C13H30N+,200.38,ethyl-dimethyl-nonylazanium,4.6,118,9,14
56,13,CCCCCCCC[N+](C)(C)CCC,54512768,C13H30N+,200.38,dimethyl-octyl-propylazanium,4.6,118,9,14
57,13,CCCCCCCC[N+](C)(CC)CC,23148562,C13H30N+,200.38,diethyl-methyl-octylazanium,4.4,116,9,14
58,13,CCCCCCC[N+](C)(C)CCCC,23088855,C13H30N+,200.38,butyl-heptyl-dimethylazanium,4.4,118,9,14
60,13,CCCCCCC[N+](CC)(CC)CC,14389559,C13H30N+,200.38,triethyl(heptyl)azanium,4.3,108,9,14
61,13,CCCCCC[N+](C)(C)CCCCC,23088834,C13H30N+,200.38,hexyl-dimethyl-pentylazanium,4.4,118,9,14
62,13,CCCCCC[N+](C)(CC)CCCC,57165305,C13H30N+,200.38,butyl-ethyl-hexyl-methylazanium,4.2,122,9,14
