Index,Num_c,SMILES,CID,MolecularFormula,MolecularWeight,IUPACName,XLogP,Complexity,RotatableBondCount,HeavyAtomCount,Bromide_CAS,Chloride_CAS
1,4,C[N+](C)(C)C,6380,C4H12N+,74.14,tetramethylazanium,0.3,19,0,5,"64-20-0, 200-581-2","75-57-0, 200-880-8, 9050-97-9"
2,5,CC[N+](C)(C)C,33993,C5H14N+,88.17,ethyl(trimethyl)azanium,0.6,33,1,6,2650-77-3,"27697-51-4, 608-133-1"
3,6,CCC[N+](C)(C)C,29385,C6H16N+,102.2,trimethyl(propyl)azanium,1.2,42,2,7,2650-50-2,"2877-24-9, 608-246-6"
4,6,CC[N+](C)(C)CC,199517,C6H16N+,102.2,diethyl(dimethyl)azanium,1.0,42,2,7,20109-38-0,"29508-45-0, 608-367-4"
5,7,CCCC[N+](C)(C)C,24399,C7H18N+,116.22,butyl(trimethyl)azanium,1.5,51,3,8,2650-51-3,14251-72-0
6,7,CCC[N+](C)(C)CC,158452,C7H18N+,116.22,ethyl-dimethyl-propylazanium,1.5,57,3,8,"283-728-3, 84697-18-7",
7,7,CC[N+](C)(CC)CC,70440,C7H18N+,116.22,triethyl(methyl)azanium,1.4,47,3,8,"220-282-0, 2700-16-5","10052-47-8, 600-107-8"
8,8,CCCCC[N+](C)(C)C,9022,C8H20N+,130.25,trimethyl(pentyl)azanium,2.1,61,4,9,150-98-1,26119-36-8
10,8,CCC[N+](C)(C)CCC,9989306,C8H20N+,130.25,dimethyl(dipropyl)azanium,2.1,59,4,9,"610-854-1, 52509-52-1",
11,8,CCC[N+](C)(CC)CC,4167058,C8H20N+,130.25,diethyl-methyl-propylazanium,1.9,65,4,9,"273-956-1, 69286-10-8",
12,8,CC[N+](CC)(CC)CC,5413,C8H20N+,130.25,tetraethylazanium,1.7,47,4,9,"71-91-0, 200-769-4","56-34-8, 200-267-5"
13,9,CCCCCC[N+](C)(C)C,84774,C9H22N+,144.28,hexyl(trimethyl)azanium,2.6,71,5,10,2650-53-5,29801-86-3
18,9,CCC[N+](CC)(CC)CC,77853,C9H22N+,144.28,triethyl(propyl)azanium,2.3,66,5,10,13028-68-7,88071-67-4
23,10,CCCC[N+](C)(C)CCCC,18615673,C10H24N+,158.3,dibutyl(dimethyl)azanium,2.8,76,6,11,115984-63-9,
25,10,CCCC[N+](CC)(CC)CC,45719,C10H24N+,158.3,butyl(triethyl)azanium,2.6,76,6,11,13028-69-8,24344-65-8
26,10,CCC[N+](C)(CCC)CCC,77068,C10H24N+,158.3,methyl(tripropyl)azanium,3.0,71,6,11,61175-75-5,75373-66-9
27,10,CCC[N+](CC)(CC)CCC,13879586,C10H24N+,158.3,diethyl(dipropyl)azanium,2.8,76,6,11,71095-63-1,
28,11,CCCCCCCC[N+](C)(C)C,24950,C11H26N+,172.33,trimethyl(octyl)azanium,4.2,91,7,12,2083-68-3,10108-86-8
32,11,CCCCC[N+](C)(C)CCCC,53780101,C11H26N+,172.33,butyl-dimethyl-pentylazanium,3.3,97,7,12,,62570-49-4
34,11,CCCCC[N+](CC)(CC)CC,152429,C11H26N+,172.33,triethyl(pentyl)azanium,3.2,86,7,12,13028-70-1,
38,11,CCC[N+](CC)(CCC)CCC,417995,C11H26N+,172.33,ethyl(tripropyl)azanium,3.3,82,7,12,61175-76-6,58877-74-0
39,12,CCCCCCCCC[N+](C)(C)C,37620,C12H28N+,186.36,trimethyl(nonyl)azanium,5.0,102,8,13,1943-11-9,58828-83-4
43,12,CCCCCC[N+](C)(C)CCCC,23088839,C12H28N+,186.36,butyl-hexyl-dimethylazanium,3.9,108,8,13,157986-16-8,
45,12,CCCCCC[N+](CC)(CC)CC,193021,C12H28N+,186.36,triethyl(hexyl)azanium,3.7,97,8,13,"627-293-3, 13028-71-2",
46,12,CCCCC[N+](C)(C)CCCCC,11149782,C12H28N+,186.36,dimethyl(dipentyl)azanium,3.9,95,8,13,700380-89-8,
51,12,CCCC[N+](CC)(CC)CCCC,45730,C12H28N+,186.36,dibutyl(diethyl)azanium,3.5,95,8,13,289885-08-1,
53,12,CCC[N+](CCC)(CCC)CCC,9559,C12H28N+,186.36,tetrapropylazanium,3.9,80,8,13,"217-727-6, 1941-30-6","227-375-5, 5810-42-4"
54,13,CCCCCCCCCC[N+](C)(C)C,16389,C13H30N+,200.38,decyl(trimethyl)azanium,5.3,113,9,14,"2082-84-0, 218-219-7","10108-87-9, 233-299-3"
60,13,CCCCCCC[N+](CC)(CC)CC,14389559,C13H30N+,200.38,triethyl(heptyl)azanium,4.3,108,9,14,,62977-86-0
69,13,CCCC[N+](C)(CCCC)CCCC,36209,C13H30N+,200.38,tributyl(methyl)azanium,4.0,98,9,14,"253-313-1, 37026-88-3","56375-79-2, 260-135-8"
71,13,CCCC[N+](CCC)(CCC)CCC,19180,C13H30N+,200.38,butyl(tripropyl)azanium,4.2,103,9,14,"262-637-2, 61175-77-7",186033-08-9
72,14,CCCCCCCCCCC[N+](C)(C)C,5228566,C14H32N+,214.41,trimethyl(undecyl)azanium,5.3,124,10,15,2650-58-0,
78,14,CCCCCCCC[N+](CC)(CC)CC,11411485,C14H32N+,214.41,triethyl(octyl)azanium,4.8,119,10,15,13028-73-4,
83,14,CCCCCC[N+](C)(C)CCCCCC,158284,C14H32N+,214.41,dihexyl(dimethyl)azanium,4.9,115,10,15,,82941-31-9
92,14,CCCCC[N+](CCC)(CCC)CCC,20376265,C14H32N+,214.41,pentyl(tripropyl)azanium,4.8,114,10,15,,1624317-14-1
93,14,CCCC[N+](CC)(CCCC)CCCC,44528,C14H32N+,214.41,tributyl(ethyl)azanium,4.4,110,10,15,37026-89-4,73586-07-9
