Index,Num_c,SMILES,CID,IUPACName,MolecularWeight,Volume3D,HeavyAtomCount,Charge,TPSA,XLogP,Complexity,RotatableBondCount,EffectiveRotorCount3D,HBondDonorCount,HBondAcceptorCount,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,FeatureCationCount3D,FeatureHydrophobeCount3D,ConformerCount3D,ConformerModelRMSD3D
1,4,C[N+](C)(C)C,6380,tetramethylazanium,74.14,70.8,5,1,0,0.3,19,0,0.0,0,0,1.25,1.25,1.25,1.0,0.0,1,0.4
2,5,CC[N+](C)(C)C,33993,ethyl(trimethyl)azanium,88.17,82.6,6,1,0,0.6,33,1,1.0,0,0,2.02,1.14,1.14,1.0,0.0,1,0.4
3,6,CCC[N+](C)(C)C,29385,trimethyl(propyl)azanium,102.2,95.5,7,1,0,1.2,42,2,2.0,0,0,3.26,1.09,1.06,1.0,1.0,1,0.4
4,6,CC[N+](C)(C)CC,199517,diethyl(dimethyl)azanium,102.2,94.3,7,1,0,1.0,42,2,2.0,0,0,2.42,1.38,1.06,1.0,0.0,5,0.4
5,7,CCCC[N+](C)(C)C,24399,butyl(trimethyl)azanium,116.22,108.6,8,1,0,1.5,51,3,3.0,0,0,4.75,1.07,1.0,1.0,1.0,3,0.6
6,7,CCC[N+](C)(C)CC,158452,ethyl-dimethyl-propylazanium,116.22,107.2,8,1,0,1.5,57,3,3.0,0,0,3.44,1.5,1.01,1.0,1.0,7,0.6
7,7,CC[N+](C)(CC)CC,70440,triethyl(methyl)azanium,116.22,106.1,8,1,0,1.4,47,3,3.0,0,0,2.19,2.19,1.0,1.0,0.0,5,0.6
8,8,CCCCC[N+](C)(C)C,9022,trimethyl(pentyl)azanium,130.25,121.8,9,1,0,2.1,61,4,4.0,0,0,6.8,1.03,0.96,1.0,1.0,10,0.6
9,8,CCCC[N+](C)(C)CC,14022617,butyl-ethyl-dimethylazanium,130.25,120.3,9,1,0,1.9,67,4,4.0,0,0,5.04,1.4,0.98,1.0,1.0,10,0.6
10,8,CCC[N+](C)(C)CCC,9989306,dimethyl(dipropyl)azanium,130.25,120.2,9,1,0,2.1,59,4,4.0,0,0,4.48,1.67,0.97,1.0,2.0,5,0.6
11,8,CCC[N+](C)(CC)CC,4167058,diethyl-methyl-propylazanium,130.25,119.0,9,1,0,1.9,65,4,4.0,0,0,3.49,2.01,0.97,1.0,1.0,10,0.6
12,8,CC[N+](CC)(CC)CC,5413,tetraethylazanium,130.25,117.6,9,1,0,1.7,47,4,4.0,0,0,2.36,1.66,1.66,1.0,0.0,2,0.6
13,9,CCCCCC[N+](C)(C)C,84774,hexyl(trimethyl)azanium,144.28,134.5,10,1,0,2.6,71,5,5.0,0,0,8.83,1.02,0.92,1.0,2.0,10,0.6
14,9,CCCCC[N+](C)(C)CC,23088838,ethyl-dimethyl-pentylazanium,144.28,133.3,10,1,0,2.4,76,5,5.0,0,0,6.11,1.5,1.05,1.0,1.0,10,0.6
15,9,CCCC[N+](C)(C)CCC,23088837,butyl-dimethyl-propylazanium,144.28,133.0,10,1,0,2.4,76,5,5.0,0,0,4.56,2.33,1.0,1.0,2.0,10,0.6
16,9,CCCC[N+](C)(CC)CC,23393389,butyl-diethyl-methylazanium,144.28,131.7,10,1,0,2.3,74,5,5.0,0,0,5.32,1.6,1.04,1.0,1.0,10,0.6
17,9,CCC[N+](C)(CC)CCC,20376278,ethyl-methyl-dipropylazanium,144.28,131.7,10,1,0,2.4,72,5,5.0,0,0,4.34,1.94,1.15,1.0,2.0,10,0.6
18,9,CCC[N+](CC)(CC)CC,77853,triethyl(propyl)azanium,144.28,130.5,10,1,0,2.3,66,5,5.0,0,0,3.29,1.8,1.55,1.0,1.0,3,0.6
19,10,CCCCCCC[N+](C)(C)C,30142,heptyl(trimethyl)azanium,158.3,147.9,11,1,0,3.7,81,6,6.0,0,0,11.54,0.99,0.9,1.0,2.0,10,0.6
20,10,CCCCCC[N+](C)(C)CC,11593475,ethyl-hexyl-dimethylazanium,158.3,146.3,11,1,0,3.0,86,6,6.0,0,0,9.31,1.3,0.92,1.0,2.0,10,0.6
21,10,CCCCC[N+](C)(C)CCC,23088871,dimethyl-pentyl-propylazanium,158.3,146.3,11,1,0,3.0,86,6,6.0,0,0,6.42,2.28,0.96,1.0,2.0,10,0.6
22,10,CCCCC[N+](C)(CC)CC,23088876,diethyl-methyl-pentylazanium,158.3,145.2,11,1,0,2.8,84,6,6.0,0,0,6.76,1.7,1.08,1.0,1.0,10,0.6
23,10,CCCC[N+](C)(C)CCCC,18615673,dibutyl(dimethyl)azanium,158.3,145.9,11,1,0,2.8,76,6,6.0,0,0,5.15,2.91,0.99,1.0,2.0,10,0.6
24,10,CCCC[N+](C)(CC)CCC,20268953,butyl-ethyl-methyl-propylazanium,158.3,144.7,11,1,0,2.8,90,6,6.0,0,0,4.54,2.66,1.16,1.0,2.0,10,0.6
25,10,CCCC[N+](CC)(CC)CC,45719,butyl(triethyl)azanium,158.3,143.4,11,1,0,2.6,76,6,6.0,0,0,4.77,1.72,1.51,1.0,1.0,3,0.6
26,10,CCC[N+](C)(CCC)CCC,77068,methyl(tripropyl)azanium,158.3,144.8,11,1,0,3.0,71,6,6.0,0,0,3.78,3.78,0.94,1.0,3.0,5,0.6
27,10,CCC[N+](CC)(CC)CCC,13879586,diethyl(dipropyl)azanium,158.3,143.4,11,1,0,2.8,76,6,6.0,0,0,3.13,2.87,1.47,1.0,2.0,9,0.6
28,11,CCCCCCCC[N+](C)(C)C,24950,trimethyl(octyl)azanium,172.33,160.7,12,1,0,4.2,91,7,7.0,0,0,14.33,0.99,0.87,1.0,3.0,10,0.8
29,11,CCCCCCC[N+](C)(C)CC,23088859,ethyl-heptyl-dimethylazanium,172.33,159.2,12,1,0,3.5,97,7,7.0,0,0,10.32,1.4,1.04,1.0,2.0,10,0.8
30,11,CCCCCC[N+](C)(C)CCC,23088822,hexyl-dimethyl-propylazanium,172.33,159.0,12,1,0,3.5,97,7,7.0,0,0,8.55,2.16,0.97,1.0,3.0,10,0.8
31,11,CCCCCC[N+](C)(CC)CC,11672744,diethyl-hexyl-methylazanium,172.33,157.9,12,1,0,3.3,95,7,7.0,0,0,8.93,1.62,1.06,1.0,2.0,10,0.8
32,11,CCCCC[N+](C)(C)CCCC,53780101,butyl-dimethyl-pentylazanium,172.33,159.3,12,1,0,3.3,97,7,7.0,0,0,6.56,3.17,0.96,1.0,2.0,10,0.8
33,11,CCCCC[N+](C)(CC)CCC,23088854,ethyl-methyl-pentyl-propylazanium,172.33,158.1,12,1,0,3.3,101,7,7.0,0,0,6.43,2.69,1.05,1.0,2.0,10,0.8
34,11,CCCCC[N+](CC)(CC)CC,152429,triethyl(pentyl)azanium,172.33,156.6,12,1,0,3.2,86,7,7.0,0,0,6.9,1.66,1.41,1.0,1.0,10,0.8
35,11,CCCC[N+](C)(CC)CCCC,22487000,dibutyl-ethyl-methylazanium,172.33,157.6,12,1,0,3.1,91,7,7.0,0,0,6.95,2.37,1.02,1.0,2.0,10,0.8
36,11,CCCC[N+](C)(CCC)CCC,87509031,butyl-methyl-dipropylazanium,172.33,157.6,12,1,0,3.3,93,7,7.0,0,0,4.99,3.28,1.17,1.0,3.0,10,0.8
37,11,CCCC[N+](CC)(CC)CCC,5249160,butyl-diethyl-propylazanium,172.33,156.3,12,1,0,3.2,95,7,7.0,0,0,4.44,2.79,1.44,1.0,2.0,9,0.8
38,11,CCC[N+](CC)(CCC)CCC,417995,ethyl(tripropyl)azanium,172.33,156.3,12,1,0,3.3,82,7,7.0,0,0,3.91,2.68,1.76,1.0,3.0,9,0.8
39,12,CCCCCCCCC[N+](C)(C)C,37620,trimethyl(nonyl)azanium,186.36,173.8,13,1,0,5.0,102,8,8.0,0,0,17.6,0.97,0.85,1.0,1.0,10,0.8
40,12,CCCCCCCC[N+](C)(C)CC,57314278,ethyl-dimethyl-octylazanium,186.36,172.2,13,1,0,4.1,108,8,8.0,0,0,12.26,1.86,0.89,1.0,3.0,10,0.8
41,12,CCCCCCC[N+](C)(C)CCC,23088846,heptyl-dimethyl-propylazanium,186.36,172.3,13,1,0,4.0,108,8,8.0,0,0,11.26,2.08,0.94,1.0,3.0,10,0.8
42,12,CCCCCCC[N+](C)(CC)CC,23088836,diethyl-heptyl-methylazanium,186.36,171.2,13,1,0,3.9,106,8,8.0,0,0,11.78,1.54,1.04,1.0,2.0,10,0.8
43,12,CCCCCC[N+](C)(C)CCCC,23088839,butyl-hexyl-dimethylazanium,186.36,171.9,13,1,0,3.9,108,8,8.0,0,0,8.64,3.06,0.97,1.0,3.0,10,0.8
44,12,CCCCCC[N+](C)(CC)CCC,87446870,ethyl-hexyl-methyl-propylazanium,186.36,170.7,13,1,0,3.9,112,8,8.0,0,0,8.62,2.54,1.03,1.0,3.0,10,0.8
45,12,CCCCCC[N+](CC)(CC)CC,193021,triethyl(hexyl)azanium,186.36,169.3,13,1,0,3.7,97,8,8.0,0,0,9.09,1.57,1.38,1.0,2.0,10,0.8
46,12,CCCCC[N+](C)(C)CCCCC,11149782,dimethyl(dipentyl)azanium,186.36,172.9,13,1,0,3.9,95,8,8.0,0,0,11.25,2.34,0.88,1.0,2.0,10,0.8
47,12,CCCCC[N+](C)(CC)CCCC,87508333,butyl-ethyl-methyl-pentylazanium,186.36,171.0,13,1,0,3.7,112,8,8.0,0,0,6.3,3.76,1.09,1.0,2.0,10,0.8
48,12,CCCCC[N+](C)(CCC)CCC,23088840,methyl-pentyl-dipropylazanium,186.36,170.6,13,1,0,3.9,104,8,8.0,0,0,5.91,2.98,1.47,1.0,3.0,10,0.8
49,12,CCCCC[N+](CC)(CC)CCC,23088853,diethyl-pentyl-propylazanium,186.36,169.6,13,1,0,3.7,106,8,8.0,0,0,7.48,1.97,1.5,1.0,2.0,10,0.8
