Index,Num_c,SMILES,CID,IUPACName,XLogP,Volume3D,MolecularWeight,Charge,EffectiveRotorCount3D,RotatableBondCount,TPSA,Complexity,HeavyAtomCount,FeatureCationCount3D,FeatureHydrophobeCount3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,ConformerCount3D
1,4,C[N+](C)(C)C,6380,tetramethylazanium,0.3,70.8,74.14,1,0.0,0,0,19,5,1.0,0.0,1.25,1.25,1.25,1
2,5,CC[N+](C)(C)C,33993,ethyl(trimethyl)azanium,0.6,82.6,88.17,1,1.0,1,0,33,6,1.0,0.0,2.02,1.14,1.14,1
3,6,CCC[N+](C)(C)C,29385,trimethyl(propyl)azanium,1.2,95.5,102.2,1,2.0,2,0,42,7,1.0,1.0,3.26,1.09,1.06,1
4,6,CC[N+](C)(C)CC,199517,diethyl(dimethyl)azanium,1.0,94.3,102.2,1,2.0,2,0,42,7,1.0,0.0,2.42,1.38,1.06,5
5,7,CCCC[N+](C)(C)C,24399,butyl(trimethyl)azanium,1.5,108.6,116.22,1,3.0,3,0,51,8,1.0,1.0,4.75,1.07,1.0,3
6,7,CCC[N+](C)(C)CC,158452,ethyl-dimethyl-propylazanium,1.5,107.2,116.22,1,3.0,3,0,57,8,1.0,1.0,3.44,1.5,1.01,7
7,7,CC[N+](C)(CC)CC,70440,triethyl(methyl)azanium,1.4,106.1,116.22,1,3.0,3,0,47,8,1.0,0.0,2.19,2.19,1.0,5
8,8,CCCCC[N+](C)(C)C,9022,trimethyl(pentyl)azanium,2.1,121.8,130.25,1,4.0,4,0,61,9,1.0,1.0,6.8,1.03,0.96,10
9,8,CCCC[N+](C)(C)CC,14022617,butyl-ethyl-dimethylazanium,1.9,120.3,130.25,1,4.0,4,0,67,9,1.0,1.0,5.04,1.4,0.98,10
10,8,CCC[N+](C)(C)CCC,9989306,dimethyl(dipropyl)azanium,2.1,120.2,130.25,1,4.0,4,0,59,9,1.0,2.0,4.48,1.67,0.97,5
11,8,CCC[N+](C)(CC)CC,4167058,diethyl-methyl-propylazanium,1.9,119.0,130.25,1,4.0,4,0,65,9,1.0,1.0,3.49,2.01,0.97,10
12,8,CC[N+](CC)(CC)CC,5413,tetraethylazanium,1.7,117.6,130.25,1,4.0,4,0,47,9,1.0,0.0,2.36,1.66,1.66,2
13,9,CCCCCC[N+](C)(C)C,84774,hexyl(trimethyl)azanium,2.6,134.5,144.28,1,5.0,5,0,71,10,1.0,2.0,8.83,1.02,0.92,10
14,9,CCCCC[N+](C)(C)CC,23088838,ethyl-dimethyl-pentylazanium,2.4,133.3,144.28,1,5.0,5,0,76,10,1.0,1.0,6.11,1.5,1.05,10
15,9,CCCC[N+](C)(C)CCC,23088837,butyl-dimethyl-propylazanium,2.4,133.0,144.28,1,5.0,5,0,76,10,1.0,2.0,4.56,2.33,1.0,10
16,9,CCCC[N+](C)(CC)CC,23393389,butyl-diethyl-methylazanium,2.3,131.7,144.28,1,5.0,5,0,74,10,1.0,1.0,5.32,1.6,1.04,10
17,9,CCC[N+](C)(CC)CCC,20376278,ethyl-methyl-dipropylazanium,2.4,131.7,144.28,1,5.0,5,0,72,10,1.0,2.0,4.34,1.94,1.15,10
18,9,CCC[N+](CC)(CC)CC,77853,triethyl(propyl)azanium,2.3,130.5,144.28,1,5.0,5,0,66,10,1.0,1.0,3.29,1.8,1.55,3
19,10,CCCCCCC[N+](C)(C)C,30142,heptyl(trimethyl)azanium,3.7,147.9,158.3,1,6.0,6,0,81,11,1.0,2.0,11.54,0.99,0.9,10
20,10,CCCCCC[N+](C)(C)CC,11593475,ethyl-hexyl-dimethylazanium,3.0,146.3,158.3,1,6.0,6,0,86,11,1.0,2.0,9.31,1.3,0.92,10
21,10,CCCCC[N+](C)(C)CCC,23088871,dimethyl-pentyl-propylazanium,3.0,146.3,158.3,1,6.0,6,0,86,11,1.0,2.0,6.42,2.28,0.96,10
22,10,CCCCC[N+](C)(CC)CC,23088876,diethyl-methyl-pentylazanium,2.8,145.2,158.3,1,6.0,6,0,84,11,1.0,1.0,6.76,1.7,1.08,10
23,10,CCCC[N+](C)(C)CCCC,18615673,dibutyl(dimethyl)azanium,2.8,145.9,158.3,1,6.0,6,0,76,11,1.0,2.0,5.15,2.91,0.99,10
24,10,CCCC[N+](C)(CC)CCC,20268953,butyl-ethyl-methyl-propylazanium,2.8,144.7,158.3,1,6.0,6,0,90,11,1.0,2.0,4.54,2.66,1.16,10
25,10,CCCC[N+](CC)(CC)CC,45719,butyl(triethyl)azanium,2.6,143.4,158.3,1,6.0,6,0,76,11,1.0,1.0,4.77,1.72,1.51,3
26,10,CCC[N+](C)(CCC)CCC,77068,methyl(tripropyl)azanium,3.0,144.8,158.3,1,6.0,6,0,71,11,1.0,3.0,3.78,3.78,0.94,5
27,10,CCC[N+](CC)(CC)CCC,13879586,diethyl(dipropyl)azanium,2.8,143.4,158.3,1,6.0,6,0,76,11,1.0,2.0,3.13,2.87,1.47,9
28,11,CCCCCCCC[N+](C)(C)C,24950,trimethyl(octyl)azanium,4.2,160.7,172.33,1,7.0,7,0,91,12,1.0,3.0,14.33,0.99,0.87,10
29,11,CCCCCCC[N+](C)(C)CC,23088859,ethyl-heptyl-dimethylazanium,3.5,159.2,172.33,1,7.0,7,0,97,12,1.0,2.0,10.32,1.4,1.04,10
30,11,CCCCCC[N+](C)(C)CCC,23088822,hexyl-dimethyl-propylazanium,3.5,159.0,172.33,1,7.0,7,0,97,12,1.0,3.0,8.55,2.16,0.97,10
31,11,CCCCCC[N+](C)(CC)CC,11672744,diethyl-hexyl-methylazanium,3.3,157.9,172.33,1,7.0,7,0,95,12,1.0,2.0,8.93,1.62,1.06,10
32,11,CCCCC[N+](C)(C)CCCC,53780101,butyl-dimethyl-pentylazanium,3.3,159.3,172.33,1,7.0,7,0,97,12,1.0,2.0,6.56,3.17,0.96,10
33,11,CCCCC[N+](C)(CC)CCC,23088854,ethyl-methyl-pentyl-propylazanium,3.3,158.1,172.33,1,7.0,7,0,101,12,1.0,2.0,6.43,2.69,1.05,10
34,11,CCCCC[N+](CC)(CC)CC,152429,triethyl(pentyl)azanium,3.2,156.6,172.33,1,7.0,7,0,86,12,1.0,1.0,6.9,1.66,1.41,10
35,11,CCCC[N+](C)(CC)CCCC,22487000,dibutyl-ethyl-methylazanium,3.1,157.6,172.33,1,7.0,7,0,91,12,1.0,2.0,6.95,2.37,1.02,10
36,11,CCCC[N+](C)(CCC)CCC,87509031,butyl-methyl-dipropylazanium,3.3,157.6,172.33,1,7.0,7,0,93,12,1.0,3.0,4.99,3.28,1.17,10
37,11,CCCC[N+](CC)(CC)CCC,5249160,butyl-diethyl-propylazanium,3.2,156.3,172.33,1,7.0,7,0,95,12,1.0,2.0,4.44,2.79,1.44,9
38,11,CCC[N+](CC)(CCC)CCC,417995,ethyl(tripropyl)azanium,3.3,156.3,172.33,1,7.0,7,0,82,12,1.0,3.0,3.91,2.68,1.76,9
39,12,CCCCCCCCC[N+](C)(C)C,37620,trimethyl(nonyl)azanium,5.0,173.8,186.36,1,8.0,8,0,102,13,1.0,1.0,17.6,0.97,0.85,10
40,12,CCCCCCCC[N+](C)(C)CC,57314278,ethyl-dimethyl-octylazanium,4.1,172.2,186.36,1,8.0,8,0,108,13,1.0,3.0,12.26,1.86,0.89,10
41,12,CCCCCCC[N+](C)(C)CCC,23088846,heptyl-dimethyl-propylazanium,4.0,172.3,186.36,1,8.0,8,0,108,13,1.0,3.0,11.26,2.08,0.94,10
42,12,CCCCCCC[N+](C)(CC)CC,23088836,diethyl-heptyl-methylazanium,3.9,171.2,186.36,1,8.0,8,0,106,13,1.0,2.0,11.78,1.54,1.04,10
43,12,CCCCCC[N+](C)(C)CCCC,23088839,butyl-hexyl-dimethylazanium,3.9,171.9,186.36,1,8.0,8,0,108,13,1.0,3.0,8.64,3.06,0.97,10
44,12,CCCCCC[N+](C)(CC)CCC,87446870,ethyl-hexyl-methyl-propylazanium,3.9,170.7,186.36,1,8.0,8,0,112,13,1.0,3.0,8.62,2.54,1.03,10
45,12,CCCCCC[N+](CC)(CC)CC,193021,triethyl(hexyl)azanium,3.7,169.3,186.36,1,8.0,8,0,97,13,1.0,2.0,9.09,1.57,1.38,10
46,12,CCCCC[N+](C)(C)CCCCC,11149782,dimethyl(dipentyl)azanium,3.9,172.9,186.36,1,8.0,8,0,95,13,1.0,2.0,11.25,2.34,0.88,10
47,12,CCCCC[N+](C)(CC)CCCC,87508333,butyl-ethyl-methyl-pentylazanium,3.7,171.0,186.36,1,8.0,8,0,112,13,1.0,2.0,6.3,3.76,1.09,10
