Index,Num_c,SMILES,cid,name,molecular_weight
1,4,C[N+](C)(C)C,6380.0,tetramethylazanium,74.14
2,5,CC[N+](C)(C)C,33993.0,ethyl(trimethyl)azanium,88.17
3,6,CC(C)[N+](C)(C)C,12127913.0,trimethyl(propan-2-yl)azanium,102.2
4,6,CCC[N+](C)(C)C,29385.0,trimethyl(propyl)azanium,102.2
5,6,CC[N+](C)(C)CC,199517.0,diethyl(dimethyl)azanium,102.2
6,7,CC(C)(C)[N+](C)(C)C,14157076.0,tert-butyl(trimethyl)azanium,116.22
7,7,CC(C)C[N+](C)(C)C,15919129.0,trimethyl(2-methylpropyl)azanium,116.22
8,7,CCCC[N+](C)(C)C,24399.0,butyl(trimethyl)azanium,116.22
9,7,CCC[N+](C)(C)CC,158452.0,ethyl-dimethyl-propylazanium,116.22
10,7,CC[N+](C)(C)C(C)C,14022623.0,ethyl-dimethyl-propan-2-ylazanium,116.22
11,7,CC[N+](C)(CC)CC,70440.0,triethyl(methyl)azanium,116.22
12,8,CC(C)[N+](C)(C)C(C)C,19885843.0,dimethyl-di(propan-2-yl)azanium,130.25
13,8,CCCCC[N+](C)(C)C,9022.0,trimethyl(pentyl)azanium,130.25
14,8,CCCC[N+](C)(C)CC,14022617.0,butyl-ethyl-dimethylazanium,130.25
15,8,CCC[N+](C)(C)C(C)C,22044337.0,dimethyl-propan-2-yl-propylazanium,130.25
16,8,CCC[N+](C)(C)CCC,9989306.0,dimethyl(dipropyl)azanium,130.25
17,8,CCC[N+](C)(CC)CC,4167058.0,diethyl-methyl-propylazanium,130.25
18,8,CC[N+](C)(C)C(C)(C)C,419882.0,tert-butyl-ethyl-dimethylazanium,130.25
19,8,CC[N+](C)(C)CC(C)C,419881.0,ethyl-dimethyl-(2-methylpropyl)azanium,130.25
20,8,CC[N+](C)(CC)C(C)C,23517151.0,diethyl-methyl-propan-2-ylazanium,130.25
21,8,CC[N+](CC)(CC)CC,5413.0,tetraethylazanium,130.25
22,9,CC(C)C[N+](C)(C)C(C)C,123769654.0,dimethyl-(2-methylpropyl)-propan-2-ylazanium,144.28
23,9,CC(C)[N+](C)(C)C(C)(C)C,18408211.0,tert-butyl-dimethyl-propan-2-ylazanium,144.28
24,9,CCCCCC[N+](C)(C)C,84774.0,hexyl(trimethyl)azanium,144.28
25,9,CCCCC[N+](C)(C)CC,23088838.0,ethyl-dimethyl-pentylazanium,144.28
26,9,CCCC[N+](C)(C)C(C)C,14022621.0,butyl-dimethyl-propan-2-ylazanium,144.28
27,9,CCCC[N+](C)(C)CCC,23088837.0,butyl-dimethyl-propylazanium,144.28
28,9,CCCC[N+](C)(CC)CC,23393389.0,butyl-diethyl-methylazanium,144.28
29,9,CCC[N+](C)(C)C(C)(C)C,123625472.0,tert-butyl-dimethyl-propylazanium,144.28
30,9,CCC[N+](C)(C)CC(C)C,21344279.0,dimethyl-(2-methylpropyl)-propylazanium,144.28
31,9,CCC[N+](C)(CC)C(C)C,87299517.0,ethyl-methyl-propan-2-yl-propylazanium,144.28
32,9,CCC[N+](C)(CC)CCC,20376278.0,ethyl-methyl-dipropylazanium,144.28
33,9,CCC[N+](CC)(CC)CC,77853.0,triethyl(propyl)azanium,144.28
