Index,Num_c,SMILES
001,4,C[N+](C)(C)C
002,5,CC[N+](C)(C)C
003,6,CCC[N+](C)(C)C
004,6,CC[N+](C)(C)CC
005,7,CCCC[N+](C)(C)C
006,7,CCC[N+](C)(C)CC
007,7,CC[N+](C)(CC)CC
008,8,CCCCC[N+](C)(C)C
009,8,CCCC[N+](C)(C)CC
010,8,CCC[N+](C)(C)CCC
011,8,CCC[N+](C)(CC)CC
012,8,CC[N+](CC)(CC)CC
013,9,CCCCCC[N+](C)(C)C
014,9,CCCCC[N+](C)(C)CC
015,9,CCCC[N+](C)(C)CCC
016,9,CCCC[N+](C)(CC)CC
017,9,CCC[N+](C)(CC)CCC
018,9,CCC[N+](CC)(CC)CC
019,10,CCCCCCC[N+](C)(C)C
020,10,CCCCCC[N+](C)(C)CC
021,10,CCCCC[N+](C)(C)CCC
022,10,CCCCC[N+](C)(CC)CC
023,10,CCCC[N+](C)(C)CCCC
024,10,CCCC[N+](C)(CC)CCC
025,10,CCCC[N+](CC)(CC)CC
026,10,CCC[N+](C)(CCC)CCC
027,10,CCC[N+](CC)(CC)CCC
028,11,CCCCCCCC[N+](C)(C)C
029,11,CCCCCCC[N+](C)(C)CC
030,11,CCCCCC[N+](C)(C)CCC
031,11,CCCCCC[N+](C)(CC)CC
032,11,CCCCC[N+](C)(C)CCCC
033,11,CCCCC[N+](C)(CC)CCC
034,11,CCCCC[N+](CC)(CC)CC
035,11,CCCC[N+](C)(CC)CCCC
036,11,CCCC[N+](C)(CCC)CCC
037,11,CCCC[N+](CC)(CC)CCC
038,11,CCC[N+](CC)(CCC)CCC
039,12,CCCCCCCCC[N+](C)(C)C
040,12,CCCCCCCC[N+](C)(C)CC
041,12,CCCCCCC[N+](C)(C)CCC
042,12,CCCCCCC[N+](C)(CC)CC
043,12,CCCCCC[N+](C)(C)CCCC
044,12,CCCCCC[N+](C)(CC)CCC
045,12,CCCCCC[N+](CC)(CC)CC
046,12,CCCCC[N+](C)(C)CCCCC
047,12,CCCCC[N+](C)(CC)CCCC
048,12,CCCCC[N+](C)(CCC)CCC
049,12,CCCCC[N+](CC)(CC)CCC
050,12,CCCC[N+](C)(CCC)CCCC
051,12,CCCC[N+](CC)(CC)CCCC
052,12,CCCC[N+](CC)(CCC)CCC
053,12,CCC[N+](CCC)(CCC)CCC
054,13,CCCCCCCCCC[N+](C)(C)C
055,13,CCCCCCCCC[N+](C)(C)CC
056,13,CCCCCCCC[N+](C)(C)CCC
057,13,CCCCCCCC[N+](C)(CC)CC
058,13,CCCCCCC[N+](C)(C)CCCC
