Index,Original_Index,Num_c,SMILES,SMILES_Salt,Halide_Type
1,1,4,C[N+](C)(C)C,C[N+](C)(C)C.[Br-],Bromide
2,1,4,C[N+](C)(C)C,C[N+](C)(C)C.[Cl-],Chloride
3,2,5,CC[N+](C)(C)C,CC[N+](C)(C)C.[Br-],Bromide
4,2,5,CC[N+](C)(C)C,CC[N+](C)(C)C.[Cl-],Chloride
5,3,6,CC(C)[N+](C)(C)C,CC(C)[N+](C)(C)C.[Br-],Bromide
6,3,6,CC(C)[N+](C)(C)C,CC(C)[N+](C)(C)C.[Cl-],Chloride
7,4,6,CCC[N+](C)(C)C,CCC[N+](C)(C)C.[Br-],Bromide
8,4,6,CCC[N+](C)(C)C,CCC[N+](C)(C)C.[Cl-],Chloride
9,5,6,CC[N+](C)(C)CC,CC[N+](C)(C)CC.[Br-],Bromide
10,5,6,CC[N+](C)(C)CC,CC[N+](C)(C)CC.[Cl-],Chloride
11,6,7,CC(C)(C)[N+](C)(C)C,CC(C)(C)[N+](C)(C)C.[Br-],Bromide
12,6,7,CC(C)(C)[N+](C)(C)C,CC(C)(C)[N+](C)(C)C.[Cl-],Chloride
13,7,7,CC(C)C[N+](C)(C)C,CC(C)C[N+](C)(C)C.[Br-],Bromide
14,7,7,CC(C)C[N+](C)(C)C,CC(C)C[N+](C)(C)C.[Cl-],Chloride
15,8,7,CCCC[N+](C)(C)C,CCCC[N+](C)(C)C.[Br-],Bromide
16,8,7,CCCC[N+](C)(C)C,CCCC[N+](C)(C)C.[Cl-],Chloride
17,9,7,CCC[N+](C)(C)CC,CCC[N+](C)(C)CC.[Br-],Bromide
18,9,7,CCC[N+](C)(C)CC,CCC[N+](C)(C)CC.[Cl-],Chloride
19,10,7,CC[N+](C)(C)C(C)C,CC[N+](C)(C)C(C)C.[Br-],Bromide
20,10,7,CC[N+](C)(C)C(C)C,CC[N+](C)(C)C(C)C.[Cl-],Chloride
21,11,7,CC[N+](C)(CC)CC,CC[N+](C)(CC)CC.[Br-],Bromide
22,11,7,CC[N+](C)(CC)CC,CC[N+](C)(CC)CC.[Cl-],Chloride
23,12,8,CC(C)CC[N+](C)(C)C,CC(C)CC[N+](C)(C)C.[Br-],Bromide
24,12,8,CC(C)CC[N+](C)(C)C,CC(C)CC[N+](C)(C)C.[Cl-],Chloride
25,13,8,CC(C)[N+](C)(C)C(C)C,CC(C)[N+](C)(C)C(C)C.[Br-],Bromide
26,13,8,CC(C)[N+](C)(C)C(C)C,CC(C)[N+](C)(C)C(C)C.[Cl-],Chloride
27,14,8,CCC(C)C[N+](C)(C)C,CCC(C)C[N+](C)(C)C.[Br-],Bromide
28,14,8,CCC(C)C[N+](C)(C)C,CCC(C)C[N+](C)(C)C.[Cl-],Chloride
29,15,8,CCCC(C)[N+](C)(C)C,CCCC(C)[N+](C)(C)C.[Br-],Bromide
30,15,8,CCCC(C)[N+](C)(C)C,CCCC(C)[N+](C)(C)C.[Cl-],Chloride
31,16,8,CCCCC[N+](C)(C)C,CCCCC[N+](C)(C)C.[Br-],Bromide
32,16,8,CCCCC[N+](C)(C)C,CCCCC[N+](C)(C)C.[Cl-],Chloride
33,17,8,CCCC[N+](C)(C)CC,CCCC[N+](C)(C)CC.[Br-],Bromide
34,17,8,CCCC[N+](C)(C)CC,CCCC[N+](C)(C)CC.[Cl-],Chloride
35,18,8,CCC[N+](C)(C)C(C)C,CCC[N+](C)(C)C(C)C.[Br-],Bromide
36,18,8,CCC[N+](C)(C)C(C)C,CCC[N+](C)(C)C(C)C.[Cl-],Chloride
37,19,8,CCC[N+](C)(C)CCC,CCC[N+](C)(C)CCC.[Br-],Bromide
38,19,8,CCC[N+](C)(C)CCC,CCC[N+](C)(C)CCC.[Cl-],Chloride
39,20,8,CCC[N+](C)(CC)CC,CCC[N+](C)(CC)CC.[Br-],Bromide
40,20,8,CCC[N+](C)(CC)CC,CCC[N+](C)(CC)CC.[Cl-],Chloride
41,21,8,CC[N+](C)(C)C(C)(C)C,CC[N+](C)(C)C(C)(C)C.[Br-],Bromide
42,21,8,CC[N+](C)(C)C(C)(C)C,CC[N+](C)(C)C(C)(C)C.[Cl-],Chloride
43,22,8,CC[N+](C)(C)CC(C)C,CC[N+](C)(C)CC(C)C.[Br-],Bromide
44,22,8,CC[N+](C)(C)CC(C)C,CC[N+](C)(C)CC(C)C.[Cl-],Chloride
45,23,8,CC[N+](C)(CC)C(C)C,CC[N+](C)(CC)C(C)C.[Br-],Bromide
46,23,8,CC[N+](C)(CC)C(C)C,CC[N+](C)(CC)C(C)C.[Cl-],Chloride
47,24,8,CC[N+](CC)(CC)CC,CC[N+](CC)(CC)CC.[Br-],Bromide
48,24,8,CC[N+](CC)(CC)CC,CC[N+](CC)(CC)CC.[Cl-],Chloride
49,25,9,CC(C)C[N+](C)(C)C(C)C,CC(C)C[N+](C)(C)C(C)C.[Br-],Bromide
50,25,9,CC(C)C[N+](C)(C)C(C)C,CC(C)C[N+](C)(C)C(C)C.[Cl-],Chloride
51,26,9,CC(C)[N+](C)(C)C(C)(C)C,CC(C)[N+](C)(C)C(C)(C)C.[Br-],Bromide
52,26,9,CC(C)[N+](C)(C)C(C)(C)C,CC(C)[N+](C)(C)C(C)(C)C.[Cl-],Chloride
53,27,9,CCC(C)C[N+](C)(C)CC,CCC(C)C[N+](C)(C)CC.[Br-],Bromide
54,27,9,CCC(C)C[N+](C)(C)CC,CCC(C)C[N+](C)(C)CC.[Cl-],Chloride
55,28,9,CCCC(C)[N+](C)(C)CC,CCCC(C)[N+](C)(C)CC.[Br-],Bromide
56,28,9,CCCC(C)[N+](C)(C)CC,CCCC(C)[N+](C)(C)CC.[Cl-],Chloride
57,29,9,CCCCCC[N+](C)(C)C,CCCCCC[N+](C)(C)C.[Br-],Bromide
58,29,9,CCCCCC[N+](C)(C)C,CCCCCC[N+](C)(C)C.[Cl-],Chloride
59,30,9,CCCCC[N+](C)(C)CC,CCCCC[N+](C)(C)CC.[Br-],Bromide
60,30,9,CCCCC[N+](C)(C)CC,CCCCC[N+](C)(C)CC.[Cl-],Chloride
61,31,9,CCCC[N+](C)(C)C(C)C,CCCC[N+](C)(C)C(C)C.[Br-],Bromide
62,31,9,CCCC[N+](C)(C)C(C)C,CCCC[N+](C)(C)C(C)C.[Cl-],Chloride
63,32,9,CCCC[N+](C)(C)CCC,CCCC[N+](C)(C)CCC.[Br-],Bromide
64,32,9,CCCC[N+](C)(C)CCC,CCCC[N+](C)(C)CCC.[Cl-],Chloride
65,33,9,CCCC[N+](C)(CC)CC,CCCC[N+](C)(CC)CC.[Br-],Bromide
66,33,9,CCCC[N+](C)(CC)CC,CCCC[N+](C)(CC)CC.[Cl-],Chloride
67,34,9,CCC[N+](C)(C)C(C)(C)C,CCC[N+](C)(C)C(C)(C)C.[Br-],Bromide
68,34,9,CCC[N+](C)(C)C(C)(C)C,CCC[N+](C)(C)C(C)(C)C.[Cl-],Chloride
69,35,9,CCC[N+](C)(C)CC(C)C,CCC[N+](C)(C)CC(C)C.[Br-],Bromide
70,35,9,CCC[N+](C)(C)CC(C)C,CCC[N+](C)(C)CC(C)C.[Cl-],Chloride
71,36,9,CCC[N+](C)(CC)C(C)C,CCC[N+](C)(CC)C(C)C.[Br-],Bromide
72,36,9,CCC[N+](C)(CC)C(C)C,CCC[N+](C)(CC)C(C)C.[Cl-],Chloride
73,37,9,CCC[N+](C)(CC)CCC,CCC[N+](C)(CC)CCC.[Br-],Bromide
