Index,Original_Index,Num_c,SMILES,SMILES_Salt,Halide_Type,CAS
1,1,4,C[N+](C)(C)C,C[N+](C)(C)C.[Br-],Bromide,"64-20-0, 200-581-2"
2,1,4,C[N+](C)(C)C,C[N+](C)(C)C.[Cl-],Chloride,"75-57-0, 200-880-8, 9050-97-9"
3,2,5,CC[N+](C)(C)C,CC[N+](C)(C)C.[Br-],Bromide,2650-77-3
4,2,5,CC[N+](C)(C)C,CC[N+](C)(C)C.[Cl-],Chloride,"27697-51-4, 608-133-1"
7,4,6,CCC[N+](C)(C)C,CCC[N+](C)(C)C.[Br-],Bromide,2650-50-2
8,4,6,CCC[N+](C)(C)C,CCC[N+](C)(C)C.[Cl-],Chloride,"2877-24-9, 608-246-6"
9,5,6,CC[N+](C)(C)CC,CC[N+](C)(C)CC.[Br-],Bromide,20109-38-0
10,5,6,CC[N+](C)(C)CC,CC[N+](C)(C)CC.[Cl-],Chloride,"29508-45-0, 608-367-4"
13,7,7,CC(C)C[N+](C)(C)C,CC(C)C[N+](C)(C)C.[Br-],Bromide,79859-70-4
15,8,7,CCCC[N+](C)(C)C,CCCC[N+](C)(C)C.[Br-],Bromide,2650-51-3
16,8,7,CCCC[N+](C)(C)C,CCCC[N+](C)(C)C.[Cl-],Chloride,14251-72-0
17,9,7,CCC[N+](C)(C)CC,CCC[N+](C)(C)CC.[Br-],Bromide,"283-728-3, 84697-18-7"
21,11,7,CC[N+](C)(CC)CC,CC[N+](C)(CC)CC.[Br-],Bromide,"220-282-0, 2700-16-5"
22,11,7,CC[N+](C)(CC)CC,CC[N+](C)(CC)CC.[Cl-],Chloride,"10052-47-8, 600-107-8"
23,12,8,CC(C)CC[N+](C)(C)C,CC(C)CC[N+](C)(C)C.[Br-],Bromide,74710-14-8
31,16,8,CCCCC[N+](C)(C)C,CCCCC[N+](C)(C)C.[Br-],Bromide,150-98-1
32,16,8,CCCCC[N+](C)(C)C,CCCCC[N+](C)(C)C.[Cl-],Chloride,26119-36-8
37,19,8,CCC[N+](C)(C)CCC,CCC[N+](C)(C)CCC.[Br-],Bromide,"610-854-1, 52509-52-1"
39,20,8,CCC[N+](C)(CC)CC,CCC[N+](C)(CC)CC.[Br-],Bromide,"273-956-1, 69286-10-8"
47,24,8,CC[N+](CC)(CC)CC,CC[N+](CC)(CC)CC.[Br-],Bromide,"71-91-0, 200-769-4"
48,24,8,CC[N+](CC)(CC)CC,CC[N+](CC)(CC)CC.[Cl-],Chloride,"56-34-8, 200-267-5"
57,29,9,CCCCCC[N+](C)(C)C,CCCCCC[N+](C)(C)C.[Br-],Bromide,2650-53-5
58,29,9,CCCCCC[N+](C)(C)C,CCCCCC[N+](C)(C)C.[Cl-],Chloride,29801-86-3
69,35,9,CCC[N+](C)(C)CC(C)C,CCC[N+](C)(C)CC(C)C.[Br-],Bromide,92623-29-5
75,38,9,CCC[N+](CC)(CC)CC,CCC[N+](CC)(CC)CC.[Br-],Bromide,13028-68-7
76,38,9,CCC[N+](CC)(CC)CC,CCC[N+](CC)(CC)CC.[Cl-],Chloride,88071-67-4
96,48,10,CC(C)[N+](C)(C(C)C)C(C)C,CC(C)[N+](C)(C(C)C)C(C)C.[Cl-],Chloride,129680-20-2
119,61,10,CCCC[N+](C)(C)CCCC,CCCC[N+](C)(C)CCCC.[Br-],Bromide,115984-63-9
